geo_name,smoking_2015,smoking_2016,id,state,poverty_2015,poverty_2016
"Autauga County, AL",0.217,0.187,1001,AL,0.1287938240286168,0.12266017070222353
"Baldwin County, AL",0.20600000000000002,0.18600000000000003,1003,AL,0.13411660731460062,0.1299379576891782
"Barbour County, AL",0.251,0.214,1005,AL,0.26727439227439226,0.26373672856478153
"Bibb County, AL",0.259,0.21,1007,AL,0.16795878075793325,0.16453914478474008
"Blount County, AL",0.213,0.19399999999999998,1009,AL,0.16720932675139166,0.1653444018284033
"Bullock County, AL",0.37799999999999995,0.223,1011,AL,0.24618736383442266,0.2686625960212724
"Butler County, AL",0.305,0.228,1013,AL,0.2536473634417169,0.25659508434699907
"Calhoun County, AL",0.244,0.23800000000000002,1015,AL,0.2053220893998345,0.19642381755257787
"Chambers County, AL",0.24100000000000002,0.20800000000000002,1017,AL,0.21589930833852822,0.203116138853237
"Cherokee County, AL",0.244,0.198,1019,AL,0.192297165200391,0.16446102493618692
"Chilton County, AL",0.201,0.212,1021,AL,0.19148837854073286,0.20274358559848502
"Choctaw County, AL",0.19899999999999998,0.19,1023,AL,0.23428268444175124,0.20953326713008938
"Clarke County, AL",0.13699999999999998,0.212,1025,AL,0.2474172507393753,0.24635962041884818
"Clay County, AL",0.262,0.204,1027,AL,0.1665027611770936,0.16748054326262782
"Cleburne County, AL",0.18899999999999997,0.185,1029,AL,0.1697232185152602,0.19618362080673638
"Coffee County, AL",0.177,0.193,1031,AL,0.17082736104475235,0.16354591582927072
"Colbert County, AL",0.29600000000000004,0.185,1033,AL,0.1742013149365682,0.1652754590984975
"Conecuh County, AL",0.22899999999999998,0.23800000000000002,1035,AL,0.3377902885292048,0.3253842497227064
"Coosa County, AL",0.3,0.218,1037,AL,0.1928372093023256,0.15337715537772698
"Covington County, AL",0.287,0.19899999999999998,1039,AL,0.20218461621243508,0.18994488869677978
"Crenshaw County, AL",0.166,0.204,1041,AL,0.16677600408193016,0.18181818181818182
"Cullman County, AL",0.22,0.201,1043,AL,0.18544157226012392,0.17120535157127525
"Dale County, AL",0.212,0.20199999999999999,1045,AL,0.19138696939782823,0.20474574868633375
"Dallas County, AL",0.20600000000000002,0.254,1047,AL,0.35007683442182097,0.3430003667930065
"DeKalb County, AL",0.18,0.192,1049,AL,0.18689075151911885,0.19786614936954414
"Elmore County, AL",0.214,0.193,1051,AL,0.136424243224333,0.14296964208371069
"Escambia County, AL",0.209,0.22699999999999998,1053,AL,0.24243874964798648,0.2520260697081326
"Etowah County, AL",0.26,0.223,1055,AL,0.1966387871427732,0.18376886741498002
"Fayette County, AL",0.141,0.205,1057,AL,0.18324136276391556,0.1730118443316413
"Franklin County, AL",0.245,0.19699999999999998,1059,AL,0.22476946721311475,0.2228527459844186
"Geneva County, AL",0.325,0.21899999999999997,1061,AL,0.23230949412520308,0.2276807696678156
"Greene County, AL",0.18100000000000002,0.265,1063,AL,0.402382604672681,0.3788375908132177
"Hale County, AL",,0.218,1065,AL,0.2679000801496126,0.25911746927261736
"Henry County, AL",0.17,0.175,1067,AL,0.15622978773446228,0.152809785499025
"Houston County, AL",0.184,0.19399999999999998,1069,AL,0.1828806680714899,0.18880676845278616
"Jackson County, AL",0.221,0.20199999999999999,1071,AL,0.17995718490767995,0.18792152643006743
"Jefferson County, AL",0.212,0.168,1073,AL,0.18774694053571067,0.18104171480231177
"Lamar County, AL",0.261,0.214,1075,AL,0.2414334665905197,0.23861514150265767
"Lauderdale County, AL",0.177,0.18899999999999997,1077,AL,0.17915719299794708,0.18278072502210432
"Lawrence County, AL",0.278,0.203,1079,AL,0.18731945113143958,0.182801547014745
"Lee County, AL",0.183,0.203,1081,AL,0.23764044171239188,0.2301159187421095
"Limestone County, AL",0.21899999999999997,0.18600000000000003,1083,AL,0.142501416163142,0.14100343043333602
"Lowndes County, AL",0.226,0.231,1085,AL,0.28500328669358627,0.28690089746037806
"Macon County, AL",0.138,0.235,1087,AL,0.2591971374259197,0.2553607358436332
"Madison County, AL",0.183,0.20199999999999999,1089,AL,0.13737323535328436,0.13270371325425476
"Marengo County, AL",0.168,0.22,1091,AL,0.26149396629101423,0.2777833854850106
"Marion County, AL",0.26899999999999996,0.203,1093,AL,0.20099824632402535,0.18627848786095896
"Marshall County, AL",0.27699999999999997,0.204,1095,AL,0.2016458697681405,0.20512325830653805
"Mobile County, AL",0.23800000000000002,0.205,1097,AL,0.19270692925810418,0.19474122174836916
"Monroe County, AL",0.207,0.21899999999999997,1099,AL,0.31398152782201194,0.3209649203572415
"Montgomery County, AL",0.192,0.19699999999999998,1101,AL,0.2259070358922373,0.21311668753288698
"Morgan County, AL",0.239,0.185,1103,AL,0.1605589377469518,0.16309100498494308
"Perry County, AL",0.259,0.24600000000000002,1105,AL,0.3636657681940701,0.3979907264296754
"Pickens County, AL",0.18100000000000002,0.21600000000000003,1107,AL,0.2497658932473208,0.23925321619077503
"Pike County, AL",0.183,0.223,1109,AL,0.2613989554295235,0.25742069185397737
"Randolph County, AL",0.281,0.201,1111,AL,0.20384093990058744,0.20562270813527095
"Russell County, AL",0.239,0.212,1113,AL,0.21038852235836214,0.2154190292878323
"St. Clair County, AL",0.272,0.198,1115,AL,0.1600157427726362,0.13703751907900186
"Shelby County, AL",0.18,0.155,1117,AL,0.08329549367038078,0.08493696412107228
"Sumter County, AL",0.17,0.24100000000000002,1119,AL,0.42651845970623264,0.3672062830581824
"Talladega County, AL",0.231,0.218,1121,AL,0.2304857535407491,0.20794148380355276
"Tallapoosa County, AL",0.267,0.20800000000000002,1123,AL,0.22471716250523774,0.2336024967799465
"Tuscaloosa County, AL",0.217,0.204,1125,AL,0.19091779913472773,0.1795929850886242
"Walker County, AL",0.27699999999999997,0.218,1127,AL,0.22495839240584356,0.21930991799473928
"Washington County, AL",0.195,0.2,1129,AL,0.19139900711765057,0.21608100777529987
"Wilcox County, AL",0.18899999999999997,0.252,1131,AL,0.37659729828404526,0.34892119640707475
"Winston County, AL",0.228,0.21600000000000003,1133,AL,0.21881364562118127,0.2056595744680851
"Aleutians East Borough, AK",0.382,0.20199999999999999,2013,AK,0.16798298906439854,0.15496809480401094
"Aleutians West Census Area, AK",0.267,0.18,2016,AK,0.09056261343012705,0.07683982683982683
"Anchorage Municipality, AK",0.157,0.16,2020,AK,0.0818927729987398,0.08098363686789313
"Bethel Census Area, AK",0.299,0.34299999999999997,2050,AK,0.2518903318903319,0.26587233062798593
"Bristol Bay Borough, AK",0.264,0.212,2060,AK,0.0720250521920668,0.07251082251082251
"Denali Borough, AK",0.214,0.17800000000000002,2068,AK,0.12706353176588295,0.11277831558567279
"Dillingham Census Area, AK",0.386,0.32,2070,AK,0.18078867542972699,0.16481294236602628
"Fairbanks North Star Borough, AK",0.19399999999999998,0.162,2090,AK,0.08087721311646444,0.07758288257303358
"Haines Borough, AK",0.141,0.18100000000000002,2100,AK,0.052858261550509,0.05252686032630322
"Hoonah-Angoon Census Area, AK",,,2105,AK,0.11853245531514581,0.12345679012345678
"Juneau City and Borough, AK",0.175,0.171,2110,AK,0.06606136505948654,0.07423334065727111
"Kenai Peninsula Borough, AK",0.212,0.195,2122,AK,0.09970043231025885,0.10969002575717204
"Ketchikan Gateway Borough, AK",0.225,0.19699999999999998,2130,AK,0.1213556311972769,0.1075499629903775
"Kodiak Island Borough, AK",0.198,0.16899999999999998,2150,AK,0.11347517730496454,0.09153637231153197
"Kusilvak County, AK",,,2158,AK,0.332994665989332,0.3598189590143324
"Lake and Peninsula Borough, AK",0.252,0.308,2164,AK,0.1683708248125426,0.18772305496074232
"Matanuska-Susitna Borough, AK",0.262,0.212,2170,AK,0.10026939312305114,0.0966708023159636
"Nome Census Area, AK",0.401,0.353,2180,AK,0.27008440137542983,0.27010416666666665
"North Slope Borough, AK",0.45299999999999996,0.254,2185,AK,0.10231680469650907,0.11210057621791514
"Northwest Arctic Borough, AK",0.48200000000000004,0.35200000000000004,2188,AK,0.23840020912299045,0.24535218643623985
"Petersburg Census Area, AK",,,2195,AK,0.10221944357611754,0.09286165508528112
"Prince of Wales-Hyder Census Area, AK",,,2198,AK,0.14602822260979864,0.1488416375753729
"Sitka City and Borough, AK",0.213,0.184,2220,AK,0.09047619047619047,0.09046482554835777
"Skagway Municipality, AK",,,2230,AK,0.04408817635270541,0.05252725470763132
"Southeast Fairbanks Census Area, AK",0.21600000000000003,0.20199999999999999,2240,AK,0.14525862068965517,0.13625832609325225
"Valdez-Cordova Census Area, AK",0.23199999999999998,0.191,2261,AK,0.10864745011086474,0.08534638714483346
"Wade Hampton Census Area, AK",0.361,0.41,2270,AK,,
"Wrangell City and Borough, AK",,,2275,AK,0.11782094594594594,0.0994544691565254
"Yakutat City and Borough, AK",,0.205,2282,AK,0.05443234836702955,0.07894736842105263
"Yukon-Koyukuk Census Area, AK",0.405,0.32299999999999995,2290,AK,0.22413175796634444,0.2353365818444324
"Apache County, AZ",0.184,0.256,4001,AZ,0.36619638506430957,0.3620227445889889
"Cochise County, AZ",0.217,0.16,4003,AZ,0.17865639419210091,0.18926389789441353
"Coconino County, AZ",0.152,0.198,4005,AZ,0.22723080197715395,0.22163611207194742
"Gila County, AZ",0.244,0.18,4007,AZ,0.22673127010877892,0.21220407694955445
"Graham County, AZ",0.163,0.184,4009,AZ,0.2261503416856492,0.22500909862913987
"Greenlee County, AZ",0.198,0.172,4011,AZ,0.1368551475557558,0.1338617349185381
"La Paz County, AZ",0.185,0.16,4012,AZ,0.19050465799830618,0.2113153045470392
"Maricopa County, AZ",0.158,0.151,4013,AZ,0.16984453606687597,0.16516857273842417
"Mohave County, AZ",0.26899999999999996,0.2,4015,AZ,0.19847445166033575,0.19323740493448066
"Navajo County, AZ",0.168,0.23399999999999999,4017,AZ,0.30612808594940566,0.2990368314881285
"Pima County, AZ",0.156,0.146,4019,AZ,0.1925828106085617,0.19085665696840554
"Pinal County, AZ",0.17300000000000001,0.17,4021,AZ,0.17306238909943264,0.16472790264883969
"Santa Cruz County, AZ",0.17300000000000001,0.154,4023,AZ,0.23489861030813045,0.2185731937308968
"Yavapai County, AZ",0.193,0.147,4025,AZ,0.16022185069692302,0.14677907680842145
"Yuma County, AZ",0.14,0.149,4027,AZ,0.20697125456013243,0.20476342792154711
"Arkansas County, AR",0.22,0.22399999999999998,5001,AR,0.2012056044314109,0.19637578013796125
"Ashley County, AR",0.299,0.244,5003,AR,0.20745542949756887,0.1990939322376982
"Baxter County, AR",0.239,0.201,5005,AR,0.15916716005525952,0.1383638475032738
"Benton County, AR",0.168,0.187,5007,AR,0.12244255988437586,0.11379851362510322
"Boone County, AR",0.146,0.217,5009,AR,0.176547693820148,0.17472260843488455
"Bradley County, AR",0.141,0.25,5011,AR,0.2903022101939558,0.2882529845985601
"Calhoun County, AR",0.35,0.223,5013,AR,0.1778082728876691,0.19161558236108364
"Carroll County, AR",0.239,0.20199999999999999,5015,AR,0.1829991217798595,0.17480016060152573
"Chicot County, AR",0.36200000000000004,0.266,5017,AR,0.31682890303257205,0.3092136540838642
"Clark County, AR",0.11900000000000001,0.23199999999999998,5019,AR,0.23710407239819004,0.24010487571219685
"Clay County, AR",0.21,0.22699999999999998,5021,AR,0.21835380673980162,0.22219265566790847
"Cleburne County, AR",0.284,0.19899999999999998,5023,AR,0.14534240075913332,0.15490608743993964
"Cleveland County, AR",0.217,0.195,5025,AR,0.20773519990508957,0.20047990401919616
"Columbia County, AR",0.159,0.237,5027,AR,0.2563842902430433,0.24943016759776537
"Conway County, AR",0.27699999999999997,0.223,5029,AR,0.22573222760174488,0.21524276040916293
"Craighead County, AR",0.183,0.24100000000000002,5031,AR,0.2021512212128048,0.18921930073329823
"Crawford County, AR",0.222,0.215,5033,AR,0.1851293809367835,0.18777064235174926
"Crittenden County, AR",0.23600000000000002,0.261,5035,AR,0.24077852129916763,0.24586332041582087
"Cross County, AR",0.33799999999999997,0.231,5037,AR,0.2011741455475471,0.19759177679882525
"Dallas County, AR",,0.222,5039,AR,0.15528034839412086,0.14726840855106887
"Desha County, AR",0.239,0.253,5041,AR,0.3301376597836775,0.3198773209549072
"Drew County, AR",0.18100000000000002,0.249,5043,AR,0.2858524926018666,0.27735849056603773
"Faulkner County, AR",0.18,0.217,5045,AR,0.15505445406311086,0.16093287393735825
"Franklin County, AR",0.27699999999999997,0.22899999999999998,5047,AR,0.21980152845899395,0.2111416781292985
"Fulton County, AR",0.292,0.21,5049,AR,0.19943091472089713,0.23175426849681954
"Garland County, AR",0.27699999999999997,0.23199999999999998,5051,AR,0.2085277113762492,0.2063266935619432
"Grant County, AR",0.39,0.196,5053,AR,0.1197194950911641,0.13001290033092153
"Greene County, AR",0.177,0.22699999999999998,5055,AR,0.17772144768342488,0.17742648941866693
"Hempstead County, AR",0.187,0.261,5057,AR,0.2696812857532008,0.2673082185533157
"Hot Spring County, AR",0.278,0.212,5059,AR,0.1910227309057195,0.17048208136717255
"Howard County, AR",0.203,0.24600000000000002,5061,AR,0.21825545638640967,0.1962039617383445
"Independence County, AR",0.23199999999999998,0.233,5063,AR,0.21793794802867383,0.19208362369337978
"Izard County, AR",0.257,0.215,5065,AR,0.21003233693508952,0.2197671655975291
"Jackson County, AR",0.27,0.25,5067,AR,0.26756813564072024,0.27106997616042633
"Jefferson County, AR",0.249,0.262,5069,AR,0.25466629168578575,0.2550148867703227
"Johnson County, AR",0.244,0.243,5071,AR,0.2209362241864521,0.21376997435391595
"Lafayette County, AR",,0.248,5073,AR,0.24414668547249646,0.263802796597953
"Lawrence County, AR",0.163,0.243,5075,AR,0.2385438972162741,0.23645320197044334
"Lee County, AR",0.184,0.28300000000000003,5077,AR,0.2734718100890208,0.3005404077622206
